"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL654";"MIRTAZAPINE";"6-AZAMIANSERIN|AVANZA|MIRATAZ|MIRTAZAPIN|MIRTAZAPINE|MIRTAZAPINE ANHYDROUS|NORSET|ORG 3770|ORG-3770|PROMYRTIL|REMERON SOLTAB|REXER|Remeron|ZISPIN";"Small molecule";"4.0";"265.36";"88";"1216";"2.48";"19.37";"3";"0";"0";"0";"Y";"0.73";"None";"6.67";"3.21";"3.13";"2";"MOL";"0";"20";"3";"0";"0";"265.1579";"-0.78";"NEUTRAL";"C17H19N3";"CN1CCN2c3ncccc3Cc3ccccc3C2C1";"RONZAEMNMFQXRA-UHFFFAOYSA-N"
"CHEMBL1200348";"SULCONAZOLE NITRATE";"Exelderm|NSC-757849|RS-44872|RS-44872-00-10-3|RS-44872-00-1O-3|SULCONAZOLE NITRATE|SULCOSYN";"Small molecule";"4.0";"460.77";"49";"102";"6.52";"17.82";"3";"0";"1";"6";"N";"0.47";"None";"6.51";"6.06";"6.02";"3";"MOL";"0";"24";"2";"0";"1";"396.0022";"-1.29";"NEUTRAL";"C18H16Cl3N3O3S";"Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O";"CRKGMGQUHDNAPB-UHFFFAOYSA-N"
"CHEMBL54";"HALOPERIDOL";"DOLPIN|DOZIC|FORTUNAN|HALDOL SOLUTAB|HALOPERIDOL|HALOPERIDOL DECANOATE IMPURITY, HALOPERIDOL-|Haldol|KENTACE|Keselen|MCN-JR-1625|NSC-170973|NSC-615296|R-1625|SERENACE";"Small molecule";"4.0";"375.87";"366";"4418";"4.43";"40.54";"3";"1";"0";"6";"N";"0.76";"13.96";"8.05";"3.66";"2.93";"2";"MOL";"0";"26";"3";"1";"0";"375.1401";"-0.94";"NEUTRAL";"C21H23ClFNO2";"O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1";"LNEPOXFFQSENCJ-UHFFFAOYSA-N"
"CHEMBL248594";"RAC-3-N-BUTYLPHTHALIDE";"N-Butylphthalide|RAC-3-N-BUTYLPHTHALIDE";"Small molecule";"3.0";"190.24";"19";"93";"3.09";"26.30";"2";"0";"0";"3";"N";"0.68";"13.93";"None";"3.36";"3.36";"1";"MOL";"0";"14";"2";"0";"0";"190.0994";"0.83";"NEUTRAL";"C12H14O2";"CCCCC1OC(=O)c2ccccc21";"HJXMNVQARNZTEE-UHFFFAOYSA-N"
"CHEMBL1536";"ERGOCALCIFEROL";"CALCIFEROL|CALCIFEROL IN ARACH OIL|CALTRATE|Calciferol|D-FORTE|Deltalin|Drisdol|ECIFEROL D2|ERGO-D2|ERGOCALCIFEROL|ERGOCALCIFEROLUM|ERGORAL D2|ERGORONE|Ergocalciferol|LANES|NSC-62792|OLEOVITAMIN D, SYNTHETIC|OSTELIN|OSTO-D2|Oleovitamin D|STEROGYL|STEROGYL 15H|STEROGYL-15|UVESTEROL D|VIOSTEROL|VIOSTEROL IN OIL|VITAMIN D|VITAMIN D (ERGOCALCIFEROL)|VITAMIN D2|Vitamin D 2";"Small molecule";"4.0";"396.66";"140";"514";"7.64";"20.23";"1";"1";"1";"5";"N";"0.47";"None";"None";"7.05";"7.05";"0";"MOL";"0";"29";"1";"1";"1";"396.3392";"2.81";"NEUTRAL";"C28H44O";"C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12";"MECHNRXZTMCUDQ-RKHKHRCZSA-N"
"CHEMBL226335";"RUTIN";"BIRUTAN|C.I. 75730|GLOBULARIACITRIN|ILIXANTHIN|MYRTICOLORIN|NOVARRUTINA|NSC-115918|NSC-9220|OSYRITRIN|PALIUROSIDE|QUERCETIN 3-RUTINOSIDE|QUERCETIN-3-O-RUTINOSIDE|RUTIN|RUTOSIDE|SOPHORIN|TANRUTIN|VIOLAQUERCETRIN|YUNXIANGGAN";"Small molecule";"2.0";"610.52";"121";"435";"-1.69";"269.43";"16";"10";"3";"6";"N";"0.14";"6.37";"None";"-0.87";"-2.02";"3";"MOL";"0";"43";"16";"10";"3";"610.1534";"2.01";"ACID";"C27H30O16";"C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O";"IKGXIBQEEMLURG-NVPNHPEKSA-N"
"CHEMBL439";"SULFADIAZINE";"Adiazine|Coco-diazine|Diazyl|NSC-35600|SSD|SULFACOMBIN|SULFADIAZINE|SULFADIAZINE (TRISULFAPYRIMIDINES)|SULPHADIAZINE|Sildaflo|Silvadene|Sulfadiazine|Sulfapyrimidine|Sulfolex|Sulphadiazine|Thermazene";"Small molecule";"4.0";"250.28";"168";"851";"0.86";"97.97";"5";"2";"0";"3";"N";"0.79";"6.99";"2.01";"0.39";"-0.05";"2";"MOL";"0";"17";"6";"3";"0";"250.0524";"-1.65";"NEUTRAL";"C10H10N4O2S";"Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1";"SEEPANYCNGTZFQ-UHFFFAOYSA-N"
"CHEMBL4208954";"AMIKACIN SULFATE";"AMIKACIN (AS SULFATE)|AMIKACIN SULFATE|AMIKACIN SULPHATE|AMIKACINI SULFAS|ARIKAYCE|ARIKAYCE KIT|Amiglyde|Amikin|BB-K8|NSC-755846";"Small molecule";"4.0";"781.77";"4";"4";"-8.42";"331.94";"17";"13";"3";"10";"N";"0.11";"12.16";"9.61";"-8.58";"-15.10";"0";"MOL";"0";"40";"18";"17";"3";"585.2857";"1.58";"BASE";"C22H47N5O21S2";"NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O";"FXKSEJFHKVNEFI-GCZBSULCSA-N"
"CHEMBL153479";"AMBROXOL";"AMBROXOL|AMBROXOL HYDROCHLORIDE|TABCIN";"Small molecule";"3.0";"378.11";"121";"307";"3.19";"58.28";"3";"3";"0";"3";"N";"0.71";"None";"9.01";"2.65";"1.04";"1";"MOL";"0";"18";"3";"4";"0";"375.9786";"-0.34";"BASE";"C13H18Br2N2O";"Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1";"JBDGDEWWOUBZPM-XYPYZODXSA-N"
"CHEMBL515606";"CILAZAPRIL";"ANHYDROUS CILAZAPRIL|CILAZAPRIL|CILAZAPRIL ANHYDROUS|CILAZAPRIL HYDRATE|CILAZAPRIL MONOHYDRATE|CILAZAPRILUM|INITISS|Inhibace|JUSTOR|RO 31-2848/006|RO-312848006|VASCACE";"Small molecule";"4.0";"417.51";"8";"47";"1.60";"99.18";"6";"2";"0";"8";"N";"0.62";"3.40";"5.06";"0.22";"-1.45";"1";"MOL";"0";"30";"8";"2";"0";"417.2264";"-0.15";"ACID";"C22H31N3O5";"CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O";"HHHKFGXWKKUNCY-FHWLQOOXSA-N"
"CHEMBL2106111";"CALCIUM LACTATE";"CALCIUM (AS LACTATE)|CALCIUM LACTATE|CALCIUM LACTATE ANHYDROUS|CALCIUM LACTATE, ANHYDROUS|CALPHOSAN|E-327|INS NO.327|INS-327|INS-327-|LACTIC ACID, CALCIUM SALT (2:1)|Prequist Powder";"Small molecule";"4.0";"218.22";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"218.0103";"None";"None";"C6H10CaO6";"CC(O)C(=O)[O-].CC(O)C(=O)[O-].[Ca+2]";"MKJXYGKVIBWPFZ-UHFFFAOYSA-L"
"CHEMBL424";"SALICYLIC ACID";"2-HYDROXY-BENZOIC ACID|ACNISAL|Advanced Pain Relief Callus Removers|Advanced Pain Relief Com Removers|BAZUKA|COMPOUND V|CUPLEX VERRUCA|Clear Away Wart Remover|Compound W|DUOFILM|Dr. Scholl's Callus Removers|Dr. Scholl's Corn Removers|Dr. Scholl's Wart Remover Kit|Duofilm Wart Remover|Duoplant|EDINBURGH|ERYTEX|FEMA NO. 3985|Freezone|GPPE PAINT|Ionil|Ionil-Plus|JADIT|K-557|KERALYT|LAMIVUDINE IMPURITY, SALICYLIC ACID-|LAMIVUDINE RELATED COMPOUND SALICYLIC ACID|METANIUM|NECOL|NOXACORN|NSC-180|OCCLUSAL|PHISO-CLEAR|PHYTEX|PHYTOCIL|POSALFILIN|PYRALVEX|SALACTOL|SALATAC|SALICYLIC ACID|SALICYLIC ACID RS|Salicylic Acid|Salicylic Acid Soap|Saligel|Stri-Dex|THWART|TOEPEDO|VERRUGON|WARTEX";"Small molecule";"4.0";"138.12";"226";"1088";"1.09";"57.53";"2";"2";"0";"1";"Y";"0.61";"2.79";"None";"1.98";"-1.52";"1";"MOL";"0";"10";"3";"2";"0";"138.0317";"0.14";"ACID";"C7H6O3";"O=C(O)c1ccccc1O";"YGSDEFSMJLZEOE-UHFFFAOYSA-N"
"CHEMBL2107431";"LYNESTRENOL";"LYNESTRENOL|LYNOESTRENOL|NSC-37725";"Small molecule";"3.0";"284.44";"8";"34";"4.31";"20.23";"1";"1";"0";"0";"N";"0.52";"None";"None";"4.04";"4.04";"0";"MOL";"0";"21";"1";"1";"0";"284.2140";"1.72";"NEUTRAL";"C20H28O";"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C";"YNVGQYHLRCDXFQ-XGXHKTLJSA-N"
"CHEMBL2107486";"TEBIPENEM PIVOXIL";"L-084|LJC 11,084|LJC 11084|LJC-11084|ME-1211|ME1211|Orapenem|TBPM-PI|TEBIPENEM PIVOXIL";"Small molecule";"3.0";"497.64";"17";"29";"1.67";"108.74";"10";"1";"0";"6";"N";"0.33";"None";"6.27";"1.59";"1.56";"0";"MOL";"0";"33";"9";"1";"0";"497.1654";"0.35";"NEUTRAL";"C22H31N3O6S2";"C[C@@H](O)[C@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@H]12";"SNUDIPVBUUXCDG-QHSBEEBCSA-N"
"CHEMBL3402762";"TEPOTINIB";"EMD 1214063|EMD-1214063|EMD1214063|MSC-2156119|MSC-2156119J|MSC2156119|TEPOTINIB|Tepotinib";"Small molecule";"4.0";"492.58";"307";"362";"4.01";"96.93";"8";"0";"0";"7";"N";"0.38";"None";"9.13";"4.00";"2.26";"4";"MOL";"0";"37";"8";"0";"0";"492.2274";"-1.73";"BASE";"C29H28N6O2";"CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1";"AHYMHWXQRWRBKT-UHFFFAOYSA-N"
"CHEMBL2107212";"IOBITRIDOL";"IOBITRIDOL";"Small molecule";"3.0";"835.17";"";"";"-1.11";"191.10";"9";"7";"2";"12";"N";"0.13";"11.64";"None";"-1.37";"-1.37";"1";"MOL";"0";"35";"12";"7";"3";"834.8960";"-0.35";"NEUTRAL";"C20H28I3N3O9";"CN(CC(O)CO)C(=O)c1c(I)c(NC(=O)C(CO)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I";"YLPBXIKWXNRACS-UHFFFAOYSA-N"
"CHEMBL279785";"MARIMASTAT";"BB 2516|BB-2516|GI 5712|GI-5712|KB-R 8898|MARIMASTAT|NSC-719333|TA 2516|TA-2516";"Small molecule";"3.0";"331.41";"33";"181";"-0.21";"127.76";"5";"5";"0";"7";"N";"0.33";"8.61";"None";"-0.06";"-0.08";"0";"MOL";"0";"23";"8";"5";"0";"331.2107";"0.53";"NEUTRAL";"C15H29N3O5";"CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C";"OCSMOTCMPXTDND-OUAUKWLOSA-N"
"CHEMBL2107308";"ACOTIAMIDE HYDROCHLORIDE";"ACOTIAMIDE HYDROCHLORIDE|ACOTIAMIDE HYDROCHLORIDE HYDRATE|ACOTIAMIDE HYDROCHLORIDE TRIHYDRATE|YM-443|YM443|Z-338";"Small molecule";"3.0";"541.07";"1";"1";"2.97";"113.02";"8";"3";"0";"10";"N";"0.51";"8.24";"9.62";"1.62";"0.87";"2";"MOL";"0";"31";"9";"3";"0";"450.1937";"-1.37";"BASE";"C21H37ClN4O8S";"COc1cc(O)c(C(=O)Nc2nc(C(=O)NCCN(C(C)C)C(C)C)cs2)cc1OC.Cl.O.O.O";"NPTDXIXCQCFGKC-UHFFFAOYSA-N"
"CHEMBL2402904";"FELCISETRAG";"FELCISETRAG|TAK-954|TD-8954|THRX-149699";"Small molecule";"2.0";"455.60";"20";"45";"3.61";"90.56";"5";"2";"0";"6";"N";"0.69";"11.30";"9.78";"2.34";"0.16";"2";"MOL";"0";"33";"8";"2";"0";"455.2896";"-1.34";"BASE";"C25H37N5O3";"COC(=O)N1CCC(CN2CCC(CNC(=O)c3cccc4[nH]c(C(C)C)nc34)CC2)CC1";"MZOITCJKGUIQEI-UHFFFAOYSA-N"
"CHEMBL461522";"DIPYRONE";"DIPYRONE|Diprofarn|Novaldin";"Small molecule";"4.0";"311.36";"5";"11";"0.77";"84.54";"6";"1";"0";"4";"N";"0.84";"-1.42";"None";"-0.82";"-2.25";"2";"MOL";"0";"21";"7";"1";"0";"311.0940";"-0.65";"ACID";"C13H17N3O4S";"Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C";"LVWZTYCIRDMTEY-UHFFFAOYSA-N"
"CHEMBL152067";"TALINOLOL";"TALINOLOL";"Small molecule";"1.0";"363.50";"22";"111";"3.27";"82.62";"4";"4";"0";"7";"N";"0.60";"13.83";"9.76";"2.80";"0.49";"1";"MOL";"0";"26";"6";"4";"0";"363.2522";"-1.11";"BASE";"C20H33N3O3";"CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1";"MXFWWQICDIZSOA-UHFFFAOYSA-N"
"CHEMBL1200400";"AZATHIOPRINE SODIUM";"AZATHIOPRINE SODIUM|AZATHIOPRINE SODIUM SALT|IMURAN";"Small molecule";"4.0";"299.25";"";"";"1.15";"115.42";"8";"1";"0";"3";"N";"0.43";"9.84";"2.48";"1.22";"1.21";"3";"MOL";"0";"19";"9";"1";"0";"277.0382";"-1.16";"NEUTRAL";"C9H6N7NaO2S";"Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12.[Na+]";"WISNYKIQFMKSDQ-UHFFFAOYSA-N"
"CHEMBL2105745";"GLYCEROL PHENYLBUTYRATE";"GLYCEROL PHENYLBUTYRATE|HPN-100|HPN100|RAVICTI";"Small molecule";"4.0";"530.66";"";"";"6.05";"78.90";"6";"0";"2";"17";"N";"0.16";"None";"None";"7.65";"7.65";"3";"MOL";"0";"39";"6";"0";"2";"530.2668";"0.19";"None";"C33H38O6";"O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1";"ZSDBFLMJVAGKOU-UHFFFAOYSA-N"
"CHEMBL4802130";"BELUMOSUDIL MESYLATE";"BELUMOSUDIL MESYLATE|KD025 mesylate|REZUROCK";"Small molecule";"4.0";"548.63";"";"";"4.82";"104.82";"6";"3";"0";"7";"N";"0.33";"13.08";"4.11";"4.65";"4.65";"5";"MOL";"0";"34";"8";"3";"0";"452.1961";"-1.91";"NEUTRAL";"C27H28N6O5S";"CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1.CS(=O)(=O)O";"ILQJXEIRBCHLOM-UHFFFAOYSA-N"
"CHEMBL1255794";"APLAVIROC";"AK-602|APLAVIROC|Aplaviroc|GSK-873140|GW-873140";"Small molecule";"3.0";"577.72";"9";"22";"4.58";"119.41";"6";"3";"1";"10";"N";"0.38";"4.30";"7.94";"1.48";"1.40";"2";"MOL";"0";"42";"9";"3";"1";"577.3152";"-0.18";"ACID";"C33H43N3O6";"CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2";"GWNOTCOIYUNTQP-FQLXRVMXSA-N"
"CHEMBL59356";"ATRELEUTON";"A-85761|A-85761.0|ABBOTT-85761|ABT-761|ATRELEUTON|VIA-2291";"Small molecule";"2.0";"318.37";"11";"29";"2.99";"66.56";"3";"2";"0";"3";"N";"0.52";"8.46";"None";"3.75";"3.72";"2";"MOL";"0";"22";"4";"3";"0";"318.0838";"-0.29";"NEUTRAL";"C16H15FN2O2S";"C[C@H](C#Cc1ccc(Cc2ccc(F)cc2)s1)N(O)C(N)=O";"MMSNEKOTSJRTRI-LLVKDONJSA-N"
"CHEMBL493982";"VORAPAXAR";"SCH-530348|VORAPAXAR";"Small molecule";"4.0";"492.59";"61";"228";"5.63";"77.52";"5";"1";"1";"5";"N";"0.55";"None";"4.32";"5.04";"5.04";"2";"MOL";"0";"36";"6";"1";"1";"492.2424";"-0.08";"NEUTRAL";"C29H33FN2O4";"CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1";"ZBGXUVOIWDMMJE-QHNZEKIYSA-N"
"CHEMBL3989912";"IBERDOMIDE HYDROCHLORIDE";"CC-220|CC-220 HYDROCHLORIDE|IBERDOMIDE HYDROCHLORIDE";"Small molecule";"3.0";"485.97";"";"";"1.86";"88.18";"6";"1";"0";"6";"N";"0.68";"11.61";"6.91";"1.41";"1.29";"2";"MOL";"0";"33";"8";"1";"0";"449.1951";"-0.54";"NEUTRAL";"C25H28ClN3O5";"Cl.O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1";"VVHQVXXPZDALDV-BOXHHOBZSA-N"
"CHEMBL2178579";"ELUBRIXIN";"ELUBRIXIN|Elubrixin|SB-656933|SB-656933-AAF|SB656933";"Small molecule";"2.0";"463.32";"5";"16";"3.08";"110.77";"5";"4";"0";"4";"N";"0.52";"5.78";"7.18";"1.64";"1.48";"2";"MOL";"0";"29";"8";"4";"0";"462.0332";"-1.70";"ACID";"C17H17Cl2FN4O4S";"O=C(Nc1ccc(Cl)c(S(=O)(=O)N2CCNCC2)c1O)Nc1cccc(F)c1Cl";"YQYFEGTYCUQBEI-UHFFFAOYSA-N"
"CHEMBL4300945";"AZELOPRAZOLE";"AZELOPRAZOLE";"Small molecule";"1.0";"429.54";"";"";"3.66";"92.32";"6";"1";"0";"6";"N";"0.60";"9.35";"4.74";"2.97";"2.96";"3";"MOL";"0";"30";"7";"1";"0";"429.1722";"-0.22";"NEUTRAL";"C22H27N3O4S";"Cc1cnc(C[S@@+]([O-])c2nc3ccccc3[nH]2)c(C)c1OCC1COC(C)(C)OC1";"DWDKHTXMLSZGDL-SSEXGKCCSA-N"
"CHEMBL2104753";"RIVOGLITAZONE";"CS-011|DE-101|R 106056|R-106056|RIVOGLITAZONE|Rivoglitazone";"Small molecule";"3.0";"397.46";"1";"2";"3.06";"82.45";"7";"1";"0";"6";"N";"0.69";"6.62";"4.66";"2.83";"2.12";"3";"MOL";"0";"28";"7";"1";"0";"397.1096";"-0.82";"NEUTRAL";"C20H19N3O4S";"COc1ccc2nc(COc3ccc(CC4SC(=O)NC4=O)cc3)n(C)c2c1";"XMSXOLDPMGMWTH-UHFFFAOYSA-N"
"CHEMBL2105634";"COLENEURAMIDE";"COLENEURAMIDE|MCC-257";"Small molecule";"2.0";"692.98";"";"";"4.30";"157.58";"8";"6";"2";"12";"N";"0.18";"12.63";"None";"4.53";"4.53";"0";"MOL";"0";"49";"10";"6";"2";"692.4976";"1.55";"NEUTRAL";"C39H68N2O8";"CO[C@]1(C(=O)N[C@@H]2CC[C@@]3(C)[C@@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]43)C2)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O1";"CHMRTBYTCBDIRG-JQZMMWJVSA-N"
"CHEMBL1738889";"ENOBOSARM";"ENOBOSARM|Enobosarm|GTX-024|GTx-024|MK-2866|Ostarine";"Small molecule";"3.0";"389.33";"12";"42";"3.22";"106.14";"5";"2";"0";"5";"N";"0.82";"11.95";"None";"3.27";"3.27";"2";"MOL";"0";"28";"6";"2";"0";"389.0987";"-1.37";"NEUTRAL";"C19H14F3N3O3";"C[C@](O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1";"JNGVJMBLXIUVRD-SFHVURJKSA-N"
"CHEMBL3545349";"EVT-101";"EVT-101|EVT101";"Small molecule";"2.0";"391.22";"";"";"3.77";"43.60";"4";"0";"0";"4";"N";"0.74";"None";"7.00";"1.99";"1.86";"3";"MOL";"0";"23";"4";"0";"0";"318.1092";"-1.85";"NEUTRAL";"C16H15Cl2F3N4";"Cc1nccn1Cc1cc(-c2ccc(F)c(C(F)F)c2)cnn1.Cl.Cl";"OJBLXSPBJMGZDN-UHFFFAOYSA-N"
"CHEMBL2107723";"ACOTIAMIDE";"ACOTIAMIDE";"Small molecule";"3.0";"450.56";"";"";"2.97";"113.02";"8";"3";"0";"10";"N";"0.51";"8.24";"9.62";"1.62";"0.87";"2";"MOL";"0";"31";"9";"3";"0";"450.1937";"-1.37";"BASE";"C21H30N4O5S";"COc1cc(O)c(C(=O)Nc2nc(C(=O)NCCN(C(C)C)C(C)C)cs2)cc1OC";"TWHZNAUBXFZMCA-UHFFFAOYSA-N"
"CHEMBL2220427";"ERYTHROMYCIN PROPIONATE";"ERYTHROMYCIN PROPIONATE|ERYTHROMYCIN, 2'-PROPIONATE|MONOPROPIONYLERYTHROMYCIN|PROPIOCINE";"Small molecule";"4.0";"790.00";"107";"299";"2.75";"199.98";"15";"4";"2";"9";"N";"0.25";"12.68";"7.87";"3.74";"3.14";"0";"MOL";"0";"55";"15";"4";"2";"789.4875";"1.83";"NEUTRAL";"C40H71NO14";"CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C";"TYQXKHPOXXXCTP-CSLYCKPJSA-N"
"CHEMBL3545233";"PAVINETANT";"AZ-12472520|AZ12472520|AZ124752520|AZ4901|AZD 2624|AZD 4901|AZD-2624|AZD-4901|AZD2624|AZD4901|MLE-4901|MLE4901|PAVINETANT";"Small molecule";"2.0";"459.57";"1";"1";"5.15";"88.16";"4";"2";"1";"7";"N";"0.40";"5.36";"0.43";"4.28";"3.36";"4";"MOL";"0";"33";"6";"2";"1";"459.1617";"-0.98";"ACID";"C26H25N3O3S";"CC[C@H](NC(=O)c1c(NS(C)(=O)=O)c(-c2ccccc2)nc2ccccc12)c1ccccc1";"QYTBBBAHNIWFOD-NRFANRHFSA-N"
"CHEMBL4594433";"ML-246";"METARRESTIN|ML-246";"Small molecule";"1.0";"474.61";"103";"129";"6.18";"66.83";"5";"2";"1";"5";"N";"0.32";"None";"8.37";"5.85";"4.86";"5";"MOL";"0";"36";"5";"2";"1";"474.2420";"-0.34";"NEUTRAL";"C31H30N4O";"N=c1c2c(-c3ccccc3)c(-c3ccccc3)n(Cc3ccccc3)c2ncn1[C@H]1CC[C@H](O)CC1";"WSMXAUJFLWRPNT-DIVCQZSQSA-N"
"CHEMBL271220";"CORT 108297";"ADS-108297|CORT 108297|CORT-108297";"Small molecule";"1.0";"535.56";"4";"7";"5.09";"64.43";"5";"0";"2";"6";"N";"0.41";"None";"1.56";"4.51";"4.51";"3";"MOL";"0";"37";"6";"0";"2";"535.1553";"-1.14";"NEUTRAL";"C26H25F4N3O3S";"CCOC[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(C(F)(F)F)cc1)C2";"SLKURXRZHJOZOD-RUZDIDTESA-N"
"CHEMBL1198";"PRAMOXINE";"PRAMOCAINE|Pramoxine";"Small molecule";"4.0";"293.41";"111";"575";"2.97";"30.93";"4";"0";"0";"9";"N";"0.66";"None";"7.06";"2.84";"2.68";"1";"MOL";"0";"21";"4";"0";"0";"293.1991";"-1.11";"NEUTRAL";"C17H27NO3";"CCCCOc1ccc(OCCCN2CCOCC2)cc1";"DQKXQSGTHWVTAD-UHFFFAOYSA-N"
"CHEMBL29741";"IRAMPANEL";"BIIR 561|BIIR-561|BIIR-561 CL|IRAMPANEL|Irampanel";"Small molecule";"1.0";"309.37";"3";"5";"3.34";"51.39";"5";"0";"0";"6";"N";"0.70";"None";"8.67";"4.01";"2.72";"3";"MOL";"0";"23";"5";"0";"0";"309.1477";"-1.54";"BASE";"C18H19N3O2";"CN(C)CCOc1ccccc1-c1nc(-c2ccccc2)no1";"QZULPCPLWGCGSL-UHFFFAOYSA-N"
"CHEMBL765";"GUANETHIDINE";"Esimil|GUANETHIDINE|Guanethidine|Ismelin";"Small molecule";"4.0";"198.31";"136";"565";"0.74";"65.14";"2";"3";"0";"3";"N";"0.46";"None";"12.23";"0.80";"-2.73";"0";"MOL";"0";"14";"4";"4";"0";"198.1844";"-0.88";"BASE";"C10H22N4";"N=C(N)NCCN1CCCCCCC1";"ACGDKVXYNVEAGU-UHFFFAOYSA-N"
"CHEMBL545315";"CANERTINIB DIHYDROCHLORIDE";"CANERTINIB DIHYDROCHLORIDE|CANERTINIB HYDROCHLORIDE|CI-1033|PD-0183805|PD-0183805-002B|PD-183805|SN-26606";"Small molecule";"3.0";"558.87";"25";"831";"4.39";"88.61";"7";"2";"0";"9";"N";"0.34";"12.54";"6.87";"3.90";"3.79";"3";"MOL";"0";"34";"8";"2";"0";"485.1630";"-1.82";"NEUTRAL";"C24H27Cl3FN5O3";"C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl";"JZZFDCXSFTVOJY-UHFFFAOYSA-N"
"CHEMBL436";"TOLRESTAT";"AY-27,773|AY-27773|Alderase|Alredase|TOLRESTAT";"Small molecule";"4.0";"357.35";"23";"227";"3.56";"49.77";"3";"1";"0";"4";"N";"0.85";"3.95";"None";"3.35";"0.16";"2";"MOL";"0";"24";"4";"1";"0";"357.0646";"-0.14";"ACID";"C16H14F3NO3S";"COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F";"LUBHDINQXIHVLS-UHFFFAOYSA-N"
